ID,degr_class,orig_species,canopy_width,canopy_length,height,species,plot_size,bsd,yc,yc_lc,yc_uc,area,vol
PV24,Intact,C.haematocarpa,272,242,137,C.haematocarpa,5,None,4.256187630488972,5.142893386840841,15.25133900925215,5.187476329423806,7.106842571310614
PV24,Intact,E.undulata,159,212,139,E.undulata,5,None,3.2941166982469494,3.431371560673906,13.7941136739091,2.7025747152047046,3.7565788541345397
PV24,Intact,Bowstring hamp sp,24,29,23,Bowstring hamp sp,5,None,0.0,0.0,0.0,0.05515458602458581,0.012685554785654736
PV24,Intact,P.pyracantha,19,34,81,P.pyracantha,5,None,0.1596130653250377,0.08645707705106208,1.263603433823215,0.05515458602458581,0.044675214679914504
PV24,Intact,C.perforata,13,17,10,C.perforata,5,None,0.0017027567686916023,0.002376764656298695,0.005321114902161257,0.017671458676442587,0.0017671458676442584
PV24,Intact,C.perforata,35,37,54,C.perforata,5,None,0.044071818141124326,0.06151691282198605,0.13772443169101353,0.10178760197630929,0.05496530506720702
PV24,Intact,C.muscosa,27,33,23,C.muscosa,5,None,0.020535342623210884,0.02823609610691497,0.0654564046114847,0.07068583470577035,0.01625774198232718
PV24,Intact,P.pyracantha,4,13,33,P.pyracantha,5,None,0.019671431023946955,0.010655358471304601,0.1557321622729134,0.0056745017305465635,0.001872585571080366
PV24,Intact,A.racemosus,27,33,45,A.racemosus,5,None,0.004599278924978131,0.003832732437481776,0.023954577734261098,0.07068583470577035,0.031808625617596654
PV24,Intact,Bowstring hamp sp,12,14,20,Bowstring hamp sp,5,None,0.0,0.0,0.0,0.013273228961416876,0.0026546457922833754
PV24,Intact,Crassula sp3,18,21,58,Crassula sp3,5,None,0.02215206538351566,0.03092059126449061,0.06922520432348644,0.029864765163187968,0.017321563794649022
PV24,Intact,C.perforata,27,32,14,C.perforata,5,None,0.006162732000761456,0.008602146751062866,0.01925853750237955,0.06834927516966294,0.009568898523752813
PV24,Intact,C.perforata,51,31,25,C.perforata,5,None,0.01954951670353754,0.027287867065354486,0.06109223969855482,0.13202543126711105,0.03300635781677776
PV24,Intact,E.undulata,155,175,130,E.undulata,5,None,2.4294225550933386,2.5306484948888945,10.173206949453355,2.138246499849553,2.779720449804419
PV24,Intact,C.perforata,55,62,50,C.perforata,5,None,0.0740451422456422,0.10335467771787558,0.2313910695176319,0.26878288646869175,0.13439144323434588
PV24,Intact,A.racemosus,61,77,111,A.racemosus,5,None,0.03202695180465665,0.026689126503880545,0.1668070406492534,0.3739280655935251,0.41506015280881287
PV24,Intact,Cadaba hand broom,85,90,158,Cadaba hand broom,5,None,0.12229082064697959,0.10190901720581634,0.6343836321062067,0.6013204688511713,0.9500863407848508
PV24,Intact,Cadaba hand broom,82,106,50,Cadaba hand broom,5,None,0.14544666807743786,0.12120555673119822,0.7545045906517089,0.6939778171779853,0.3469889085889927
PV24,Intact,P.afra,100,119,80,P.afra,5,None,0.7373224889987073,0.5837136371239767,4.070634574680364,0.9417120328676254,0.7533696262941003
PV24,Intact,P.afra,102,112,167,P.afra,5,None,1.4100981200289457,1.1163276783562488,7.784916704326471,0.8992023572737385,1.5016679366471435
PV24,Intact,P.afra,71,78,67,P.afra,5,None,0.3025648380354196,0.23953049677804053,1.6704100433205458,0.4359156156396687,0.292063462478578
PV24,Intact,I.sylvatica,20,24,27,I.sylvatica,5,None,0.007647239980781757,0.011948812469971495,0.021348544946349073,0.0380132711084365,0.010263583199277854
PV24,Intact,E.undulata,111,113,106,E.undulata,5,None,0.8871798373993861,0.9241456639576939,3.715065569109929,0.9852034561657591,1.0443156635357047
PV24,Intact,C.perforata,79,102,23,C.perforata,5,None,0.04806785735166719,0.0670947175533688,0.15021205422395997,0.6432607307765951,0.14794996807861688
PV24,Intact,G.robusta,110,131,150,G.robusta,5,None,0.845358472582968,0.9862515513467961,3.1348710024951734,1.1404177682071799,1.7106266523107698
PV24,Intact,P.afra,157,190,167,P.afra,5,None,3.4985722919915356,2.769703064493299,19.31503452870327,2.364225186413084,3.94825606130985
PV24,Intact,A.racemosus,83,98,78,A.racemosus,5,None,0.060254351187331266,0.050211959322776056,0.31382474576735037,0.6432607307765951,0.5017433700057442
PV24,Intact,A.racemosus,56,61,151,A.racemosus,5,None,0.02180069769998493,0.018167248083320774,0.11354530052075484,0.26878288646869175,0.4058621585677245
PV24,Intact,P.afra,107,111,158,P.afra,5,None,1.385969989336492,1.0972262415580563,7.65170931612855,0.9331315579325082,1.4743478615333632
PV24,Intact,C.ovata,56,59,82,C.ovata,5,None,0.21305767419185254,0.0932127324589355,2.0639962187335716,0.25967226777328134,0.21293125957409068
PV24,Intact,A.racemosus,59,79,125,A.racemosus,5,None,0.03202695180465665,0.026689126503880545,0.1668070406492534,0.3739280655935251,0.46741008199190637
PV24,Intact,P.afra,30,53,72,P.afra,5,None,0.10776489674093412,0.08531387658657284,0.5949520340905738,0.13526519869112552,0.0973909430576104
PV24,Intact,C.muscosa,72,70,29,C.muscosa,5,None,0.09251008983050966,0.1272013735169508,0.2948759113347496,0.39591921416865367,0.11481657210890955
PV24,Intact,C.ovata,6,7,15,C.ovata,5,None,0.0003977812516625367,0.00017402929760235983,0.0038535058754808247,0.003318307240354219,0.0004977460860531328
PV24,Intact,C.woodii,10,13,29,C.woodii,5,None,0.004283859079614677,0.0048193414645665116,0.016421459805189595,0.010386890710931252,0.0030121983061700635
PV24,Intact,Crassula sp3,14,16,14,Crassula sp3,5,None,0.0026105692651189876,0.003643919599228587,0.008158028953496837,0.017671458676442587,0.002474004214701962
PV24,Intact,E.undulata,38,40,114,E.undulata,5,None,0.05712323343829527,0.05950336816489091,0.23920354002286143,0.11945906065275187,0.13618332914413714
PV24,Intact,E.undulata,193,196,173,E.undulata,5,None,3.7259393303934414,3.8811868024931684,15.602370946022535,2.9711808870866316,5.140142934659873
PV24,Intact,E.undulata,120,121,182,E.undulata,5,None,1.073028176592973,1.1177376839510136,4.493305489483074,1.1404177682071799,2.0755603381370675
PV24,Intact,C.haematocarpa,144,223,128,C.haematocarpa,5,None,3.2988002937408103,3.9860503549368125,11.820701052571238,2.644612330745973,3.3851037833548454
PV24,Intact,P.afra,90,98,113,P.afra,5,None,0.7656467621954257,0.6061370200713787,4.227008166287246,0.6939778171779853,0.7841949334111235
PV24,Intact,P.afra,50,91,73,P.afra,5,None,0.29564693236180944,0.23405382145309916,1.632217439080823,0.39036252216261674,0.28496464117871023
PV24,Intact,P.afra,57,71,67,P.afra,5,None,0.22739610121293444,0.18002191346023977,1.255415975446409,0.3216990877275948,0.21553838877748852
PV24,Intact,Bowstring hamp sp,17,35,30,Bowstring hamp sp,5,None,0.0,0.0,0.0,0.053092915845667506,0.01592787475370025
PV24,Intact,P.pyracantha,77,95,140,P.pyracantha,5,None,1.0833436231980673,0.5868111292322865,8.576470350318033,0.5808804816487527,0.8132326743082539
PV24,Intact,P.afra,103,93,77,P.afra,5,None,0.5773785594448668,0.4570913595605196,3.1876107969352026,0.7542963961269094,0.5808082250177202
PV24,Intact,C.perforata,61,64,19,C.perforata,5,None,0.023566843161671642,0.0328953852465,0.07364638488022388,0.30679615757712825,0.05829126993965436
PV24,Intact,P.afra,61,79,68,P.afra,5,None,0.27289591945722236,0.2160426029036344,1.5066128886700818,0.38484510006474965,0.26169466804402974
PV24,Intact,P.afra,100,159,127,P.afra,5,None,1.5606194347328168,1.2354903858301467,8.61591979592076,1.3171323549716056,1.6727580908139392
PV24,Intact,C.perforata,88,94,48,C.perforata,5,None,0.1232184257913875,0.17199238600047842,0.385057580598086,0.6503882191094269,0.3121863451725249
PV24,Intact,C.ovata,26,34,40,C.ovata,5,None,0.02321295615750661,0.010155668318909142,0.2248755127758453,0.07068583470577035,0.028274333882308135
