ID,Stratum,Size,N,Vol,VolHa,MaxVol,95%Vol,Height,HeightHa,MeanHeight,MaxHeight,95%Height,MeanArea,MaxArea,95%Area,Abc,AbcHa,LitterC,LitterCHa,AgcHa
MV2,Moderate,10,38,126.88744974819686,12688.744974819685,23.73565278816885,19.306958420862745,3068.0,306800.0,80.73684210526316,287,227.24999999999991,2.749689304240827,12.161281876632854,12.161281876632854,70.5684241285069,7056.84241285069,0.9556416,9556.416,16613.25841285069
MV20,Moderate,10,173,161.7110037159796,16171.100371597959,24.52269734246632,4.400700734727393,10465.0,1046500.0,60.49132947976879,292,169.4,0.7297174060021239,8.398184021392575,3.2827679734604893,123.08578639687542,12308.578639687541,0.2706912,2706.9120000000003,15015.490639687541
MV21,Moderate,10,203,205.17469499766273,20517.469499766274,26.998398017201218,5.629175754583401,12159.0,1215900.0,59.89655172413793,304,198.89999999999998,0.6175844011638504,9.925881623971035,2.834009134353855,147.94720371661228,14794.720371661228,0.22816071041088537,2281.6071041088535,17076.327475770082
MV22,Moderate,10,249,149.42668175576793,14942.668175576793,17.60527906369931,3.625619247445066,11650.0,1165000.0,46.78714859437751,297,161.39999999999998,0.4656826791638558,7.669903939428205,2.256468558394954,137.42631301684182,13742.631301684181,0.2757763430683918,2757.763430683918,16500.3947323681
MV23,Moderate,10,223,170.15599138107484,17015.599138107485,62.98374907659692,3.1495086816786704,10567.0,1056700.0,47.38565022421525,334,167.29999999999984,0.43761487563466955,18.857409903172734,2.0006918655121217,135.14713821322758,13514.713821322757,0.518729051697128,5187.29051697128,18702.00433829404
MV24,Moderate,10,132,124.94428201496828,12494.428201496827,35.763187051711796,3.0289358282554493,7721.0,772100.0,58.49242424242424,376,185.79999999999973,0.5341692233799938,9.511485918008457,2.1188275302595443,88.14189821990077,8814.189821990076,0.7445049132814366,7445.049132814366,16259.238954804441
MV25,Moderate,10,76,200.57440687888746,20057.440687888746,32.184363633257725,13.300007357234836,7361.0,736100.0,96.85526315789474,275,225.75,1.4693058326764514,13.299323815395756,6.318611673087332,131.9502434033304,13195.02434033304,0.5812665840087169,5812.665840087169,19007.69018042021
MV27,Moderate,10,217,391.0729654595913,39107.29654595913,59.90920036642923,7.909932770816371,21570.0,2157000.0,99.40092165898618,331,254.3999999999998,0.9884160784919603,22.354179241204935,3.76881162687899,313.00333656330906,31300.333656330906,0.6627664450831856,6627.664450831856,37927.99810716276
MV28,Moderate,10,121,293.6299082885964,29362.99082885964,33.33151265642431,8.593079004843325,15370.0,1537000.0,127.02479338842976,310,237.0,1.3506724265403285,10.752100856911067,3.9232405407570186,253.83368173614898,25383.368173614897,0.6249316372061593,6249.316372061593,31632.68454567649
MV3,Moderate,10,101,149.035848976455,14903.584897645498,37.15926056148464,4.297875464697602,8649.0,864900.0,85.63366336633663,240,194.0,0.9313383617297417,15.483025233951937,2.8352873698647882,127.21550214630872,12721.550214630874,0.5080832447552446,5080.832447552446,17802.38266218332
